0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9
TIC 100100827,tic100100827,tic100100827,toi185,tyc8040000721,wasp18a,wisej013725.05454040.1,,,,wasp18,1swaspj013725.03454040.3,2massj013725034540404,cd46449,cpd46168,hd10069,hip7562,sao215585
TIC 1003831,tic1003831,,,,,,,,,toi564,2massj084110841602105,tic1003831,tyc601211001,wisej084110.84160210.6,,,
TIC 100566492,tic100566492,,,,,,,,,wasp88,1swaspj203802.70482743.2,2massj203802684827434,tyc8411013841,wisej203802.69482743.4,,,
tic 1011834,tic1011834,,,,,,,,,,,,,,,,
TIC 101721385,tic101721385,,,,,,,,,hatp14,2massj17202788+3814317,franz,tyc3086001521,wasp27,wisej172027.88+381431.8,,
TIC 101955023,tic101955023,,,,,,,,,gj1132,2massj101451844709244,lhs281,wisej101450.66470919.7,,,,
TIC 102192004,tic102192004,,,,,,,,,wasp174,1swaspj130310.57412305.3,2massj130310554123053,wisej130310.56412305.4,,,,
TIC 103633434,tic103633434,,,,,,,,,toi1235,2massj10085177+6916357,lspmj1008+6916,tic103633434,tyc438417351,wisej100852.20+691635.7,,
TIC 103751498,tic103751498,,,,,,,,,qatar8,2massj10293910+7031378,tyc438710501,wisej102939.04+703137.6,,,,
TIC 104024556,tic104024556,,,,,,,,,wasp167,2massj130410533532582,cd348618,cpd345491,gsc0725801214,kelt13,tyc725812141,wisej130410.51353258.2
TIC 111991770,tic111991770,,,,,,,,,wasp15,1swaspj135542.70320934.6,2massj135542703209345,nyamien,wisej135542.71320934.8,,,
TIC 112099249,tic112099249,,,,,,,,,wasp184,1swaspj135804.10302053.0,2massj135804083020532,wisej135804.07302053.2,,,,
TIC 112604564,tic112604564,,,,,,,,,hats39,2massj072940612956163,gsc655000341,,,,,
TIC 1129033,tic1129033,,,,,,,,,wasp77a,1swaspj022837.22070338.4,2massj022837220703384,bd07436,gsc0469700201,tyc4697002011,wisej022837.32070339.2,
tic 1133072,tic1133072,,,,,,,,,,,,,,,,
TIC 114299824,tic114299824,,,,,,,,,hats55,2massj073708023245195,wisej073708.06324521.7,,,,,
